CMDLINE /data/pgnanoraw/pod5_fork/pod5/python/pod5/venv/bin/python index_bam.py
MEM 83.996094 1691950645.0184
MEM 84.253906 1691950645.1186
MEM 84.253906 1691950645.2187
MEM 84.253906 1691950645.3188
MEM 84.253906 1691950645.4190
MEM 84.253906 1691950645.5191
MEM 84.511719 1691950645.6193
MEM 84.511719 1691950645.7194
MEM 84.511719 1691950645.8196
MEM 84.511719 1691950645.9198
MEM 84.511719 1691950646.0200
MEM 84.511719 1691950646.1201
MEM 84.769531 1691950646.2203
MEM 84.769531 1691950646.3206
MEM 84.769531 1691950646.4208
MEM 84.769531 1691950646.5210
MEM 84.769531 1691950646.6211
MEM 85.027344 1691950646.7212
MEM 85.027344 1691950646.8214
MEM 85.027344 1691950646.9216
MEM 85.027344 1691950647.0218
MEM 85.027344 1691950647.1220
MEM 85.285156 1691950647.2222
MEM 85.285156 1691950647.3225
MEM 85.285156 1691950647.4227
MEM 85.285156 1691950647.5229
MEM 85.285156 1691950647.6231
MEM 85.285156 1691950647.7232
MEM 85.542969 1691950647.8234
MEM 85.542969 1691950647.9236
MEM 85.542969 1691950648.0238
MEM 85.542969 1691950648.1239
MEM 85.542969 1691950648.2240
MEM 85.800781 1691950648.3242
MEM 85.800781 1691950648.4243
MEM 85.800781 1691950648.5245
MEM 85.800781 1691950648.6246
MEM 85.800781 1691950648.7248
MEM 86.058594 1691950648.8250
MEM 86.058594 1691950648.9252
MEM 86.058594 1691950649.0254
MEM 86.058594 1691950649.1255
MEM 86.058594 1691950649.2257
MEM 86.058594 1691950649.3259
MEM 86.316406 1691950649.4260
MEM 86.316406 1691950649.5261
MEM 86.316406 1691950649.6263
MEM 86.316406 1691950649.7265
MEM 86.316406 1691950649.8267
MEM 86.574219 1691950649.9269
MEM 86.574219 1691950650.0270
MEM 86.574219 1691950650.1272
MEM 86.574219 1691950650.2274
MEM 86.574219 1691950650.3276
MEM 86.574219 1691950650.4277
MEM 86.832031 1691950650.5279
MEM 86.832031 1691950650.6281
MEM 86.832031 1691950650.7283
MEM 86.832031 1691950650.8285
MEM 86.832031 1691950650.9287
MEM 87.089844 1691950651.0289
MEM 87.089844 1691950651.1290
MEM 87.089844 1691950651.2291
MEM 87.089844 1691950651.3293
MEM 87.089844 1691950651.4295
MEM 87.347656 1691950651.5297
MEM 87.347656 1691950651.6299
MEM 87.347656 1691950651.7301
MEM 87.347656 1691950651.8303
MEM 87.347656 1691950651.9304
MEM 87.347656 1691950652.0306
MEM 87.605469 1691950652.1307
MEM 87.605469 1691950652.2309
MEM 87.605469 1691950652.3310
MEM 87.605469 1691950652.4312
MEM 87.605469 1691950652.5314
MEM 87.863281 1691950652.6315
MEM 87.863281 1691950652.7316
MEM 87.863281 1691950652.8318
MEM 87.863281 1691950652.9320
MEM 87.863281 1691950653.0321
MEM 88.121094 1691950653.1323
MEM 88.121094 1691950653.2325
MEM 88.121094 1691950653.3326
MEM 88.121094 1691950653.4328
MEM 88.121094 1691950653.5330
MEM 88.121094 1691950653.6332
MEM 88.378906 1691950653.7335
MEM 88.378906 1691950653.8337
MEM 88.378906 1691950653.9338
MEM 88.378906 1691950654.0340
MEM 88.378906 1691950654.1341
MEM 88.636719 1691950654.2342
MEM 88.636719 1691950654.3344
MEM 88.636719 1691950654.4345
MEM 88.636719 1691950654.5346
MEM 88.636719 1691950654.6349
MEM 88.894531 1691950654.7350
MEM 88.894531 1691950654.8352
MEM 88.894531 1691950654.9354
MEM 88.894531 1691950655.0357
MEM 88.894531 1691950655.1358
MEM 89.152344 1691950655.2360
MEM 89.152344 1691950655.3362
MEM 89.152344 1691950655.4363
MEM 89.152344 1691950655.5365
MEM 89.152344 1691950655.6366
MEM 89.152344 1691950655.7368
MEM 89.410156 1691950655.8370
MEM 89.410156 1691950655.9371
MEM 89.410156 1691950656.0373
MEM 89.410156 1691950656.1374
MEM 89.410156 1691950656.2376
MEM 89.667969 1691950656.3377
MEM 89.667969 1691950656.4379
MEM 89.667969 1691950656.5380
MEM 89.667969 1691950656.6382
MEM 89.667969 1691950656.7385
MEM 89.667969 1691950656.8386
MEM 89.925781 1691950656.9387
MEM 89.925781 1691950657.0389
MEM 89.925781 1691950657.1391
MEM 89.925781 1691950657.2393
MEM 89.925781 1691950657.3394
MEM 90.183594 1691950657.4395
MEM 90.183594 1691950657.5397
MEM 90.183594 1691950657.6398
MEM 90.183594 1691950657.7400
MEM 90.183594 1691950657.8402
MEM 90.183594 1691950657.9404
MEM 90.441406 1691950658.0406
MEM 90.441406 1691950658.1408
MEM 90.441406 1691950658.2410
MEM 90.441406 1691950658.3412
MEM 90.441406 1691950658.4414
MEM 90.699219 1691950658.5416
MEM 90.699219 1691950658.6418
MEM 90.699219 1691950658.7420
MEM 90.699219 1691950658.8422
MEM 90.699219 1691950658.9424
MEM 90.957031 1691950659.0426
MEM 90.957031 1691950659.1428
MEM 90.957031 1691950659.2430
MEM 90.957031 1691950659.3432
MEM 90.957031 1691950659.4434
MEM 91.214844 1691950659.5436
MEM 91.214844 1691950659.6438
MEM 91.214844 1691950659.7440
MEM 91.214844 1691950659.8442
MEM 91.214844 1691950659.9444
MEM 91.472656 1691950660.0446
MEM 91.472656 1691950660.1448
MEM 91.472656 1691950660.2450
MEM 91.472656 1691950660.3452
MEM 91.472656 1691950660.4454
MEM 91.472656 1691950660.5457
